OBJECTID,Codigo,CCAA,Gasto_2004,Gasto_2005,Gasto_2006,Gasto_2007,Gasto_2008,Gasto_2009,Gasto_2010,Gasto_2011,Gasto_2012,Gasto_2013,Gasto_2014,Gasto_2015,Gasto_2016,Gasto_2017,Shape__Area,Shape__Length
1,01,Andalucía,6813,6775,7082,8134,7869,7416,7833,7896,7745,8395,9336,8304,11889,13268,139302893565.303,2635058.0818096
2,04,Illes Balears ,8405,8232,8850,9231,9470,8709,8771,9501,9859,10636,10355,9928,13147,14768,8378532109.59766,1835495.11156399
3,05,Canarias,9775,9921,10664,10494,10485,9101,8970,10119,10471,11676,12443,9540,16384,18288,9620551789.95508,2023696.52661517
4,09,Cataluña,8025,8723,9246,9896,10265,9580,10454,10964,12364,14177,15114,12537,18444,20118,57842312060.9785,2068998.90834669
5,10,Comunidad Valenciana,4025,4112,4334,4747,4778,4071,4207,4372,4605,5213,5383,4569,7808,8906,39013403237.2389,1801496.98872499
6,13,Comunidad de Madrid ,3575,4094,4176,4693,4770,5086,5061,5188,4893,5020,5477,4720,8116,9480,13901267623.1797,996618.632115848
